,Unnamed: 0,Year,Source_MTCDEs,value
122,122,2020_2021,Nuclear,0.0
123,123,2021_2022,Nuclear,0.0
124,124,2022_2023,Nuclear,0.0
125,125,2023_2024,Nuclear,0.0
126,126,2006_2007,Natural Gas,23.0
127,127,2007_2008,Natural Gas,34.0
128,128,2008_2009,Natural Gas,25.0
129,129,2009_2010,Natural Gas,0.0
130,130,2010_2011,Natural Gas,0.0
131,131,2011_2012,Natural Gas,25.0
132,132,2012_2013,Natural Gas,696.0
133,133,2013_2014,Natural Gas,681.0
134,134,2014_2015,Natural Gas,722.0
135,135,2015_2016,Natural Gas,803.0
136,136,2016_2017,Natural Gas,701.0
137,137,2017_2018,Natural Gas,887.0
138,138,2018_2019,Natural Gas,219.0
139,139,2019_2020,Natural Gas,80.0
140,140,2020_2021,Natural Gas,0.0
141,141,2021_2022,Natural Gas,0.0
142,142,2022_2023,Natural Gas,0.0
143,143,2023_2024,Natural Gas,0.0
144,144,2006_2007,Coal,15.0
145,145,2007_2008,Coal,24.0
146,146,2008_2009,Coal,17.0
147,147,2009_2010,Coal,0.0
148,148,2010_2011,Coal,0.0
149,149,2011_2012,Coal,7.0
150,150,2012_2013,Coal,151.0
151,151,2013_2014,Coal,147.0
152,152,2014_2015,Coal,0.0
153,153,2015_2016,Coal,0.0
154,154,2016_2017,Coal,76.0
155,155,2017_2018,Coal,51.0
156,156,2018_2019,Coal,0.0
157,157,2019_2020,Coal,0.0
158,158,2020_2021,Coal,0.0
159,159,2021_2022,Coal,0.0
160,160,2022_2023,Coal,0.0
161,161,2023_2024,Coal,0.0
162,162,2006_2007,"#1, 2, & 4 Fuel Oil",3.0
163,163,2007_2008,"#1, 2, & 4 Fuel Oil",4.0
164,164,2008_2009,"#1, 2, & 4 Fuel Oil",3.0
165,165,2009_2010,"#1, 2, & 4 Fuel Oil",11.0
166,166,2010_2011,"#1, 2, & 4 Fuel Oil",0.0
167,167,2011_2012,"#1, 2, & 4 Fuel Oil",2.0
168,168,2012_2013,"#1, 2, & 4 Fuel Oil",7.0
169,169,2013_2014,"#1, 2, & 4 Fuel Oil",59.0
170,170,2014_2015,"#1, 2, & 4 Fuel Oil",539.0
171,171,2015_2016,"#1, 2, & 4 Fuel Oil",554.0
172,172,2016_2017,"#1, 2, & 4 Fuel Oil",6.0
173,173,2017_2018,"#1, 2, & 4 Fuel Oil",18.0
174,174,2018_2019,"#1, 2, & 4 Fuel Oil",251.0
175,175,2019_2020,"#1, 2, & 4 Fuel Oil",11.0
176,176,2020_2021,"#1, 2, & 4 Fuel Oil",0.0
177,177,2021_2022,"#1, 2, & 4 Fuel Oil",0.0
178,178,2022_2023,"#1, 2, & 4 Fuel Oil",0.0
179,179,2023_2024,"#1, 2, & 4 Fuel Oil",0.0
180,180,2006_2007,#5 & 6 Fuel Oil,17.0
181,181,2007_2008,#5 & 6 Fuel Oil,35.0
182,182,2008_2009,#5 & 6 Fuel Oil,21.0
183,183,2009_2010,#5 & 6 Fuel Oil,0.0
184,184,2010_2011,#5 & 6 Fuel Oil,6.0
185,185,2011_2012,#5 & 6 Fuel Oil,4.0
186,186,2012_2013,#5 & 6 Fuel Oil,5.0
187,187,2013_2014,#5 & 6 Fuel Oil,5.0
188,188,2014_2015,#5 & 6 Fuel Oil,0.0
189,189,2015_2016,#5 & 6 Fuel Oil,0.0
190,190,2016_2017,#5 & 6 Fuel Oil,0.0
191,191,2017_2018,#5 & 6 Fuel Oil,0.0
192,192,2018_2019,#5 & 6 Fuel Oil,0.0
193,193,2019_2020,#5 & 6 Fuel Oil,0.0
194,194,2020_2021,#5 & 6 Fuel Oil,0.0
195,195,2021_2022,#5 & 6 Fuel Oil,0.0
196,196,2022_2023,#5 & 6 Fuel Oil,0.0
197,197,2023_2024,#5 & 6 Fuel Oil,0.0
198,198,2006_2007,Other (assume NPCC grid),577.0
199,199,2007_2008,Other (assume NPCC grid),884.0
200,200,2008_2009,Other (assume NPCC grid),839.0
201,201,2009_2010,Other (assume NPCC grid),166.0
202,202,2010_2011,Other (assume NPCC grid),505.0
203,203,2011_2012,Other (assume NPCC grid),399.0
204,204,2012_2013,Other (assume NPCC grid),0.0
205,205,2013_2014,Other (assume NPCC grid),0.0
206,206,2014_2015,Other (assume NPCC grid),0.0
207,207,2015_2016,Other (assume NPCC grid),0.0
208,208,2016_2017,Other (assume NPCC grid),837.0
209,209,2017_2018,Other (assume NPCC grid),135.0
210,210,2018_2019,Other (assume NPCC grid),0.0
211,211,2019_2020,Other (assume NPCC grid),83.0
212,212,2020_2021,Other (assume NPCC grid),0.0
213,213,2021_2022,Other (assume NPCC grid),0.0
214,214,2022_2023,Other (assume NPCC grid),0.0
215,215,2023_2024,Other (assume NPCC grid),0.0
216,216,2006_2007,Scope 2 TOTAL,635.0
217,217,2007_2008,Scope 2 TOTAL,980.0
218,218,2008_2009,Scope 2 TOTAL,905.0
219,219,2009_2010,Scope 2 TOTAL,177.0
220,220,2010_2011,Scope 2 TOTAL,511.0
221,221,2011_2012,Scope 2 TOTAL,436.0
222,222,2012_2013,Scope 2 TOTAL,859.0
223,223,2013_2014,Scope 2 TOTAL,892.0
224,224,2014_2015,Scope 2 TOTAL,1261.0
225,225,2015_2016,Scope 2 TOTAL,1357.0
226,226,2016_2017,Scope 2 TOTAL,1619.0
227,227,2017_2018,Scope 2 TOTAL,1091.0
228,228,2018_2019,Scope 2 TOTAL,469.0
229,229,2019_2020,Scope 2 TOTAL,174.0
230,230,2020_2021,Scope 2 TOTAL,0.0
231,231,2021_2022,Scope 2 TOTAL,0.0
232,232,2022_2023,Scope 2 TOTAL,0.0
233,233,2023_2024,Scope 2 TOTAL,0.0
