,Year,Emissions Source,value
130,FY2022,CH4 EF w/ Recovery (MTCE/ton),0.07
131,FY2023,CH4 EF w/ Recovery (MTCE/ton),0.07
132,FY2024,CH4 EF w/ Recovery (MTCE/ton),0.07
133,FY2006,CH4 EF w/ LFGE (MTCE/ton),0.04
134,FY2007,CH4 EF w/ LFGE (MTCE/ton),0.04
135,FY2008,CH4 EF w/ LFGE (MTCE/ton),0.04
136,FY2009,CH4 EF w/ LFGE (MTCE/ton),0.04
137,FY2010,CH4 EF w/ LFGE (MTCE/ton),0.04
138,FY2011,CH4 EF w/ LFGE (MTCE/ton),0.04
139,FY2012,CH4 EF w/ LFGE (MTCE/ton),0.04
140,FY2013,CH4 EF w/ LFGE (MTCE/ton),0.04
141,FY2014,CH4 EF w/ LFGE (MTCE/ton),0.04
142,FY2015,CH4 EF w/ LFGE (MTCE/ton),0.04
143,FY2016,CH4 EF w/ LFGE (MTCE/ton),0.04
144,FY2017,CH4 EF w/ LFGE (MTCE/ton),0.04
145,FY2018,CH4 EF w/ LFGE (MTCE/ton),0.04
146,FY2019,CH4 EF w/ LFGE (MTCE/ton),0.04
147,FY2020,CH4 EF w/ LFGE (MTCE/ton),0.04
148,FY2021,CH4 EF w/ LFGE (MTCE/ton),0.04
149,FY2022,CH4 EF w/ LFGE (MTCE/ton),0.04
150,FY2023,CH4 EF w/ LFGE (MTCE/ton),0.04
151,FY2024,CH4 EF w/ LFGE (MTCE/ton),0.04
152,FY2006,Short Tons Solid Waste,553.98
153,FY2007,Short Tons Solid Waste,547.32
154,FY2008,Short Tons Solid Waste,477.47
155,FY2009,Short Tons Solid Waste,432.82
156,FY2010,Short Tons Solid Waste,430.29
157,FY2011,Short Tons Solid Waste,407.09
158,FY2012,Short Tons Solid Waste,438.23
159,FY2013,Short Tons Solid Waste,405.92
160,FY2014,Short Tons Solid Waste,445.03
161,FY2015,Short Tons Solid Waste,385.83
162,FY2016,Short Tons Solid Waste,394.75
163,FY2017,Short Tons Solid Waste,400.5
164,FY2018,Short Tons Solid Waste,341.08
165,FY2019,Short Tons Solid Waste,19.38
166,FY2020,Short Tons Solid Waste,13.32
167,FY2021,Short Tons Solid Waste,472.18
168,FY2022,Short Tons Solid Waste,473.0
169,FY2023,Short Tons Solid Waste,472.18
170,FY2024,Short Tons Solid Waste,472.18
171,FY2006,Tonnes CH4,6.54
172,FY2007,Tonnes CH4,13.56
173,FY2008,Tonnes CH4,9.48
174,FY2009,Tonnes CH4,7.11
175,FY2010,Tonnes CH4,9.74
176,FY2011,Tonnes CH4,8.72
177,FY2012,Tonnes CH4,7.28
178,FY2013,Tonnes CH4,6.74
179,FY2014,Tonnes CH4,7.39
180,FY2015,Tonnes CH4,6.41
181,FY2016,Tonnes CH4,6.56
182,FY2017,Tonnes CH4,6.65
183,FY2018,Tonnes CH4,5.67
184,FY2019,Tonnes CH4,0.32
185,FY2020,Tonnes CH4,0.22
186,FY2021,Tonnes CH4,7.84
187,FY2022,Tonnes CH4,7.84
188,FY2023,Tonnes CH4,7.84
189,FY2024,Tonnes CH4,7.84
